Technologie,itération,Capacité,zipf_parameter,Nombre de Fogs, Hit rate, Ratio OriginUser,Latence_P50,Latence_P90,Latence_P99
LRU,1000000,500000000,0.1,5,0.12182881225143942,85.70372793177151,284.00399999998626,284.00400000001537,284.00400000001537
LRU,1000000,300000000,0.1,5,0.09998399924144552,88.79723099262873,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,100000000,0.1,6,0.07139340956538243,92.38304697122321,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,50000000,0.1,6,0.06497221991873289,93.05106393353574,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,500000000,0.1,5,0.12381610600096699,85.17904279280955,284.00399999998626,284.00400000001537,284.00400000001537
LRU,1000000,100000000,0.1,6,0.07444727059283897,91.88903604408266,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,100000000,0.1,6,0.07192964800322042,92.29389138551407,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,100000000,0.1,6,0.07677385968803134,91.78202379854991,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,150000000,0.1,6,0.07869365219941175,91.48811154834203,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,150000000,0.1,6,0.08221584031519237,90.98773186743155,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,500000000,0.1,6,0.12204637010244282,85.18837262873483,284.00399999998626,284.00400000001537,284.00400000001537
LRU,1000000,300000000,0.1,6,0.1003248171603313,88.75242242571466,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,300000000,0.1,6,0.1005029144156952,88.59773010917145,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,500000000,0.1,6,0.11954063760918725,85.39965438335494,284.00399999998626,284.00400000001537,284.00400000001537
LRU,1000000,100000000,0.1,6,0.0788058342277454,91.57912844625697,284.0040000000008,284.00400000001537,284.00400000001537
